#Gene_name	pLi	pRec	pNull	Gene_full_name	Function_description	Disease_description	Tissue_specificity(Uniprot)	Expression(egenetics)	Expression(GNF/Atlas)	P(HI)	P(rec)	RVIS	RVIS_percentile	GDI	GDI-Phred
AADAC	0.000181834436419695	0.703259060740575	0.296559104823006	arylacetamide deacetylase	FUNCTION: Displays cellular triglyceride lipase activity in liver, increases the levels of intracellular fatty acids derived from the hydrolysis of newly formed triglyceride stores and plays a role in very low-density lipoprotein assembly. Displays serine esterase activity in liver. Deacetylates a variety of arylacetamide substrates, including xenobiotic compounds and procarcinogens, converting them to the primary arylamide compounds and increasing their toxicity. {ECO:0000269|PubMed:17936933, ECO:0000269|PubMed:19339378, ECO:0000269|PubMed:22207054, ECO:0000269|PubMed:22415931, ECO:0000269|PubMed:23542347}.; 	.	TISSUE SPECIFICITY: Detected in liver (at protein level). Mainly expressed in liver, small intestine, colon, adrenal gland and bladder. {ECO:0000269|PubMed:19339378, ECO:0000269|PubMed:22207054, ECO:0000269|PubMed:22415931}.; 	unclassifiable (Anatomical System);heart;small intestine;ovary;colon;parathyroid;skeletal muscle;uterus;pancreas;lung;adrenal gland;placenta;liver;testis;spleen;kidney;stomach;	fetal liver;superior cervical ganglion;adrenal gland;temporal lobe;liver;adrenal cortex;fetal lung;cingulate cortex;skeletal muscle;parietal lobe;	0.02400	0.07726	-0.091746757	46.91554612	98.58087	2.14611
AADACL2	1.78138870795841e-08	0.230782215605282	0.769217766580831	arylacetamide deacetylase-like 2	.	.	.	uterus;lung;heart;placenta;colon;	.	0.06376	0.11585	-0.314027422	31.9297004	62.30478	1.61119
AADACL2-AS1	.	.	.	AADACL2 antisense RNA 1	.	.	.	.	.	.	.	.	.	.	.
AADACL3	0.00015633351437561	0.43495652549271	0.564887140992915	arylacetamide deacetylase-like 3	.	.	.	.	.	0.07474	0.07813	2.131332486	97.92403869	843.85416	5.68691
AADACL4	0.000547686324044419	0.700937101417738	0.298515212258218	arylacetamide deacetylase-like 4	.	.	.	.	.	0.05904	0.09282	-0.622676946	17.31540458	51.31876	1.41305
AADACP1	.	.	.	arylacetamide deacetylase pseudogene 1	.	.	.	.	.	.	.	.	.	.	.
AADAT	0.250802295313827	0.747906651301809	0.0012910533843643	aminoadipate aminotransferase	FUNCTION: Transaminase with broad substrate specificity. Has transaminase activity towards aminoadipate, kynurenine, methionine and glutamate. Shows activity also towards tryptophan, aspartate and hydroxykynurenine. Accepts a variety of oxo-acids as amino- group acceptors, with a preference for 2-oxoglutarate, 2- oxocaproic acid, phenylpyruvate and alpha-oxo-gamma-methiol butyric acid. Can also use glyoxylate as amino-group acceptor (in vitro). {ECO:0000269|PubMed:18620547}.; 	.	TISSUE SPECIFICITY: Higher expression in the liver. Also found in heart, brain, kidney, pancreas, prostate, testis and ovary.; 	unclassifiable (Anatomical System);lymph node;ovary;lacrimal gland;islets of Langerhans;colon;parathyroid;skin;retina;prostate;whole body;lung;cochlea;endometrium;bone;placenta;visual apparatus;liver;testis;spleen;brain;mammary gland;stomach;	trigeminal ganglion;	0.07259	0.12828	-0.117432389	44.89266336	7.64128	0.28257
AAED1	9.50774394657092e-08	0.0490058882951403	0.95099401662742	AhpC/TSA antioxidant enzyme domain containing 1	.	.	.	.	.	0.20115	0.08675	0.170987912	65.5579146	631.61722	5.06351
AAGAB	0.00810207313151983	0.977864167974257	0.0140337588942233	alpha- and gamma-adaptin binding protein	FUNCTION: May be involved in endocytic recycling of growth factor receptors such as EGFR. {ECO:0000269|PubMed:23064416}.; 	.	TISSUE SPECIFICITY: Widely expressed, including in skin and keratinocytes, with highest levels in adrenal gland, rectum and thymus. {ECO:0000269|PubMed:23000146, ECO:0000269|PubMed:23064416}.; 	medulla oblongata;ovary;colon;parathyroid;fovea centralis;choroid;vein;skin;retina;bone marrow;uterus;optic nerve;whole body;frontal lobe;endometrium;larynx;bone;iris;pituitary gland;testis;germinal center;brain;pineal gland;unclassifiable (Anatomical System);heart;epidermis;islets of Langerhans;blood;lens;pancreas;lung;nasopharynx;trabecular meshwork;placenta;macula lutea;visual apparatus;hippocampus;duodenum;liver;spleen;head and neck;kidney;mammary gland;stomach;	superior cervical ganglion;ciliary ganglion;atrioventricular node;trigeminal ganglion;parietal lobe;skeletal muscle;cingulate cortex;	.	.	0.020302773	55.60863411	3541.69204	11.48310
AAK1	0.99932042127733	0.000679578553667441	1.69002206897236e-10	AP2 associated kinase 1	FUNCTION: Regulates clathrin-mediated endocytosis by phosphorylating the AP2M1/mu2 subunit of the adaptor protein complex 2 (AP-2) which ensures high affinity binding of AP-2 to cargo membrane proteins during the initial stages of endocytosis. Isoform 1 and isoform 2 display similar levels of kinase activity towards AP2M1. Regulates phosphorylation of other AP-2 subunits as well as AP-2 localization and AP-2-mediated internalization of ligand complexes. Phosphorylates NUMB and regulates its cellular localization, promoting NUMB localization to endosomes. Binds to and stabilizes the activated form of NOTCH1, increases its localization in endosomes and regulates its transcriptional activity. {ECO:0000269|PubMed:12952931, ECO:0000269|PubMed:17494869, ECO:0000269|PubMed:18657069, ECO:0000269|PubMed:21464124}.; 	.	TISSUE SPECIFICITY: Detected in brain, heart and liver. Isoform 1 is the predominant isoform in brain. {ECO:0000269|PubMed:17494869}.; 	.	.	0.09908	0.09543	-0.664951379	15.91177164	3996.40242	12.50722
AAMDC	0.000474346768584031	0.434325570839455	0.565200082391962	adipogenesis associated, Mth938 domain containing	FUNCTION: May play a role in preadipocyte differentiation and adipogenesis. {ECO:0000250}.; 	.	.	.	.	0.07691	0.11262	0.281220278	71.07808445	1406.35943	7.00705
AAMP	0.531201269396819	0.468105024546197	0.000693706056983601	angio associated migratory cell protein	FUNCTION: Plays a role in angiogenesis and cell migration. In smooth muscle cell migration, may act through the RhoA pathway. {ECO:0000269|PubMed:10329261, ECO:0000269|PubMed:18634987}.; 	.	TISSUE SPECIFICITY: Expressed in metastatic melanoma, liver, skin, kidney, heart, lung, lymph node, skeletal muscle and brain, and also in A2058 melanoma cells and activated T-cells (at protein level). Expressed in blood vessels. Strongly expressed in endothelial cells, cytotrophoblasts, and poorly differentiated. colon adenocarcinoma cells found in lymphatics. {ECO:0000269|PubMed:10329261, ECO:0000269|PubMed:7743515}.; 	lymphoreticular;medulla oblongata;ovary;sympathetic chain;skin;retina;prostate;optic nerve;frontal lobe;endometrium;thyroid;iris;germinal center;bladder;brain;heart;cartilage;adrenal cortex;lens;skeletal muscle;breast;macula lutea;visual apparatus;liver;alveolus;cervix;spleen;mammary gland;peripheral nerve;colon;parathyroid;fovea centralis;choroid;vein;uterus;whole body;cerebral cortex;larynx;synovium;bone;pituitary gland;testis;unclassifiable (Anatomical System);lymph node;lacrimal gland;islets of Langerhans;hypothalamus;muscle;pancreas;lung;adrenal gland;placenta;hippocampus;duodenum;head and neck;kidney;stomach;thymus;cerebellum;	superior cervical ganglion;pons;	0.49551	0.12230	0.040529541	57.15380986	343.13644	3.92709
AANAT	0.0130382386829393	0.65936944025443	0.327592321062631	aralkylamine N-acetyltransferase	FUNCTION: Controls the night/day rhythm of melatonin production in the pineal gland. Catalyzes the N-acetylation of serotonin into N- acetylserotonin, the penultimate step in the synthesis of melatonin. {ECO:0000269|PubMed:11313340, ECO:0000305}.; 	DISEASE: Delayed sleep phase syndrome (DSPS) [MIM:614163]: A circadian rhythm sleep disorder characterized by sleep-onset insomnia and difficulty in awakening at the desired time. Patients with DSPS have chronic difficulty in adjusting their sleep-onset and wake-up times to occupational, school, and social activities. {ECO:0000269|PubMed:12736803}. Note=Disease susceptibility may be associated with variations affecting the gene represented in this entry. Susceptibility to delayed sleep phase syndrome can be conferred by variant Thr-129. Thr-129 shows a significantly higher frequency in affected individuals than in healthy controls.; 	TISSUE SPECIFICITY: Highly expressed in pineal gland and at lower levels in the retina. Weak expression in several brain regions and in the pituitary gland. {ECO:0000269|PubMed:18212399, ECO:0000269|PubMed:8661026}.; 	pineal body;kidney;pineal gland;retina;	superior cervical ganglion;subthalamic nucleus;heart;trigeminal ganglion;skeletal muscle;bone marrow;	0.20810	0.21095	-0.069700724	48.54328851	61.04852	1.58969
AAR2	0.000262136180238876	0.541383269914656	0.458354593905105	AAR2 splicing factor homolog	.	.	.	.	.	0.08372	0.08694	-0.312207497	32.05944798	42.10699	1.22650
AARD	0.328326488367201	0.607804866139538	0.0638686454932607	alanine and arginine rich domain containing protein	.	.	.	.	.	.	.	.	.	1834.49894	7.89444
AARS	4.67831529001667e-05	0.999939421771446	1.37950756542301e-05	alanyl-tRNA synthetase	FUNCTION: Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction: alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged tRNA(Ala) via its editing domain. {ECO:0000255|HAMAP-Rule:MF_03133}.; 	DISEASE: Charcot-Marie-Tooth disease 2N (CMT2N) [MIM:613287]: An axonal form of Charcot-Marie-Tooth disease, a disorder of the peripheral nervous system, characterized by progressive weakness and atrophy, initially of the peroneal muscles and later of the distal muscles of the arms. Charcot-Marie-Tooth disease is classified in two main groups on the basis of electrophysiologic properties and histopathology: primary peripheral demyelinating neuropathies (designated CMT1 when they are dominantly inherited) and primary peripheral axonal neuropathies (CMT2). Neuropathies of the CMT2 group are characterized by signs of axonal degeneration in the absence of obvious myelin alterations, normal or slightly reduced nerve conduction velocities, and progressive distal muscle weakness and atrophy. Nerve conduction velocities are normal or slightly reduced. {ECO:0000269|PubMed:20045102, ECO:0000269|PubMed:22009580, ECO:0000269|PubMed:22206013}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Epileptic encephalopathy, early infantile, 29 (EIEE29) [MIM:616339]: A form of epileptic encephalopathy, a heterogeneous group of severe childhood onset epilepsies characterized by refractory seizures, neurodevelopmental impairment, and poor prognosis. Development is normal prior to seizure onset, after which cognitive and motor delays become apparent. EIEE29 patients manifest severe infantile epileptic encephalopathy, clubfoot, absent deep tendon reflexes, extrapyramidal symptoms, and persistently deficient myelination. {ECO:0000269|PubMed:25817015}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	.	lymphoreticular;ovary;skin;retina;bone marrow;prostate;frontal lobe;endometrium;thyroid;germinal center;bladder;brain;heart;cartilage;tongue;urinary;adrenal cortex;pharynx;blood;skeletal muscle;breast;epididymis;macula lutea;visual apparatus;liver;spleen;cervix;mammary gland;salivary gland;intestine;colon;fovea centralis;choroid;uterus;whole body;larynx;bone;pituitary gland;testis;unclassifiable (Anatomical System);lymph node;lacrimal gland;islets of Langerhans;pancreas;lung;placenta;hippocampus;head and neck;kidney;stomach;aorta;cerebellum;	medulla oblongata;superior cervical ganglion;subthalamic nucleus;occipital lobe;cerebellum peduncles;temporal lobe;globus pallidus;caudate nucleus;pons;parietal lobe;cingulate cortex;cerebellum;	0.39793	0.20543	-0.655870776	16.12408587	1228.44466	6.62731
AARS2	1.64858013716987e-07	0.999922898974723	7.69361672633559e-05	alanyl-tRNA synthetase 2, mitochondrial	FUNCTION: Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction: alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged tRNA(Ala) via its editing domain. {ECO:0000255|HAMAP-Rule:MF_03133}.; 	DISEASE: Combined oxidative phosphorylation deficiency 8 (COXPD8) [MIM:614096]: A mitochondrial disease characterized by a lethal infantile hypertrophic cardiomyopathy, generalized muscle dysfunction and some neurologic involvement. The liver is not affected. {ECO:0000269|PubMed:21549344}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Leukoencephalopathy, progressive, with ovarian failure (LKENP) [MIM:615889]: An autosomal recessive neurodegenerative disorder characterized by childhood- to adulthood-onset of signs of neurologic deterioration consisting of ataxia, spasticity, and cognitive decline with features of frontal lobe dysfunction. Brain MRI shows leukoencephalopathy with striking involvement of deep white matter, and cerebellar atrophy. All female patients develop premature ovarian failure. {ECO:0000269|PubMed:24808023}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	.	unclassifiable (Anatomical System);lymphoreticular;cartilage;ovary;islets of Langerhans;colon;skin;breast;lung;endometrium;epididymis;thyroid;placenta;visual apparatus;hippocampus;liver;spleen;germinal center;kidney;brain;mammary gland;stomach;	superior cervical ganglion;	0.14300	0.11236	1.14268501	92.37438075	592.72341	4.93503
AARSD1	2.43909906368394e-07	0.477743381323704	0.522256374766389	alanyl-tRNA synthetase domain containing 1	FUNCTION: Functions in trans to edit the amino acid moiety from incorrectly charged tRNA(Ala). {ECO:0000250}.; 	.	.	colon;fovea centralis;choroid;skin;bone marrow;retina;uterus;prostate;optic nerve;oesophagus;thyroid;bone;testis;brain;unclassifiable (Anatomical System);heart;cartilage;islets of Langerhans;blood;lens;skeletal muscle;breast;pancreas;lung;macula lutea;liver;kidney;stomach;	subthalamic nucleus;superior cervical ganglion;testis - interstitial;testis - seminiferous tubule;testis;ciliary ganglion;atrioventricular node;pons;trigeminal ganglion;skeletal muscle;	0.15995	0.08781	-0.066061882	48.77919321	.	.
AARSP1	.	.	.	alanyl-tRNA synthetase pseudogene 1	.	.	.	.	.	.	.	.	.	.	.
AASDH	2.00999745907204e-05	0.998849623075018	0.00113027695039131	aminoadipate-semialdehyde dehydrogenase	FUNCTION: Acyl-CoA synthases catalyze the initial reaction in fatty acid metabolism, by forming a thioester with CoA. {ECO:0000250}.; 	.	TISSUE SPECIFICITY: Ubiquitously expressed in adult tissues. {ECO:0000269|PubMed:15865210}.; 	ovary;umbilical cord;salivary gland;intestine;colon;parathyroid;skin;retina;uterus;prostate;whole body;bone;testis;germinal center;brain;bladder;unclassifiable (Anatomical System);heart;islets of Langerhans;pharynx;blood;skeletal muscle;breast;lung;adrenal gland;placenta;visual apparatus;liver;spleen;kidney;stomach;cerebellum;	superior cervical ganglion;trigeminal ganglion;	0.07506	0.13832	1.054492917	91.3717858	3473.29703	11.34473
AASDHPPT	0.0839417342934132	0.906138752438426	0.009919513268161	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	FUNCTION: Catalyzes the post-translational modification of target proteins by phosphopantetheine. Can transfer the 4'- phosphopantetheine moiety from coenzyme A to a serine residue of a broad range of acceptors, such as the acyl carrier domain of FASN. {ECO:0000269|PubMed:11286508, ECO:0000269|PubMed:12815048, ECO:0000269|PubMed:18022563}.; 	.	TISSUE SPECIFICITY: Detected in heart, skeletal muscle, placenta, testis, brain, pancreas, liver and kidney. {ECO:0000269|PubMed:11286508, ECO:0000269|PubMed:12815048}.; 	medulla oblongata;ovary;skin;retina;bone marrow;prostate;optic nerve;endometrium;thyroid;amniotic fluid;germinal center;bladder;brain;heart;cartilage;spinal cord;adrenal cortex;pharynx;blood;lens;skeletal muscle;breast;macula lutea;visual apparatus;liver;alveolus;spleen;cervix;mammary gland;salivary gland;developmental;intestine;colon;parathyroid;fovea centralis;choroid;uterus;whole body;larynx;bone;pituitary gland;testis;pineal gland;unclassifiable (Anatomical System);lymph node;islets of Langerhans;hypothalamus;bile duct;pancreas;lung;nasopharynx;placenta;hippocampus;hypopharynx;head and neck;kidney;stomach;thymus;	amygdala;whole brain;testis - interstitial;superior cervical ganglion;occipital lobe;thalamus;medulla oblongata;hypothalamus;temporal lobe;caudate nucleus;pons;subthalamic nucleus;testis - seminiferous tubule;fetal brain;prefrontal cortex;globus pallidus;testis;parietal lobe;	0.23809	0.18937	-0.383807564	27.41802312	15.0964	0.54208
AASS	1.35531507533066e-06	0.997781397764295	0.00221724692063012	aminoadipate-semialdehyde synthase	FUNCTION: Bifunctional enzyme that catalyzes the first two steps in lysine degradation. The N-terminal and the C-terminal contain lysine-ketoglutarate reductase and saccharopine dehydrogenase activity, respectively.; 	DISEASE: Hyperlysinemia, 1 (HYPLYS1) [MIM:238700]: An autosomal recessive metabolic condition with variable clinical features. Some patients present with non-specific seizures, hypotonia, or mildly delayed psychomotor development, and increased serum lysine and pipecolic acid on laboratory analysis. However, about half of the probands are reported to be asymptomatic, and hyperlysinemia is generally considered to be a benign metabolic variant. {ECO:0000269|PubMed:10775527}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: 2,4-dienoyl-CoA reductase deficiency (DECRD) [MIM:616034]: A rare, autosomal recessive, inborn error of polyunsaturated fatty acids and lysine metabolism, resulting in mitochondrial dysfunction. Affected individuals have a severe encephalopathy with neurologic and metabolic abnormalities beginning in early infancy. Laboratory studies show increased C10:2 carnitine levels and hyperlysinemia. {ECO:0000269|PubMed:24847004}. Note=The protein represented in this entry is involved in disease pathogenesis. A selective decrease in mitochondrial NADP(H) levels due to NADK2 mutations causes a deficiency of NADPH-dependent mitochondrial enzymes, such as DECR1 and AASS. {ECO:0000269|PubMed:24847004}.; 	TISSUE SPECIFICITY: Expressed in all 16 tissues examined with highest expression in the liver.; 	unclassifiable (Anatomical System);lung;endometrium;thyroid;liver;testis;colon;spleen;head and neck;kidney;brain;skeletal muscle;stomach;	superior cervical ganglion;atrioventricular node;	0.54672	.	-0.905656269	10.12031139	152.77734	2.70342
AATBC	.	.	.	apoptosis associated transcript in bladder cancer	.	.	.	.	.	.	.	.	.	.	.
AATF	1.62332337375335e-07	0.845766703047181	0.154233134620481	apoptosis antagonizing transcription factor	FUNCTION: May function as a general inhibitor of the histone deacetylase HDAC1. Binding to the pocket region of RB1 may displace HDAC1 from RB1/E2F complexes, leading to activation of E2F target genes and cell cycle progression. Conversely, displacement of HDAC1 from SP1 bound to the CDKN1A promoter leads to increased expression of this CDK inhibitor and blocks cell cycle progression. Also antagonizes PAWR mediated induction of aberrant amyloid peptide production in Alzheimer disease (presenile and senile dementia), although the molecular basis for this phenomenon has not been described to date. {ECO:0000269|PubMed:12450794, ECO:0000269|PubMed:12847090, ECO:0000269|PubMed:14627703, ECO:0000269|PubMed:15207272}.; 	.	TISSUE SPECIFICITY: Ubiquitously expressed. Expressed at high levels in brain, heart, kidney, placenta and thymus. {ECO:0000269|PubMed:10783144, ECO:0000269|PubMed:11027528}.; 	ovary;salivary gland;intestine;colon;parathyroid;fovea centralis;choroid;skin;retina;uterus;prostate;optic nerve;frontal lobe;endometrium;synovium;bone;thyroid;testis;germinal center;brain;unclassifiable (Anatomical System);lymph node;cartilage;heart;islets of Langerhans;pharynx;blood;lens;skeletal muscle;pancreas;lung;cornea;nasopharynx;placenta;macula lutea;visual apparatus;hippocampus;alveolus;liver;spleen;cervix;kidney;mammary gland;stomach;	.	0.66679	0.29381	-0.286522835	33.47487615	319.73191	3.79794
AATK	0.806763652251614	0.19319225457887	4.40931695156982e-05	apoptosis-associated tyrosine kinase	FUNCTION: May be involved in neuronal differentiation. {ECO:0000269|PubMed:10837911}.; 	.	TISSUE SPECIFICITY: Expressed in brain. {ECO:0000269|PubMed:10837911}.; 	colon;parathyroid;choroid;skin;bone marrow;prostate;frontal lobe;cerebral cortex;bone;iris;testis;spinal ganglion;brain;unclassifiable (Anatomical System);amygdala;islets of Langerhans;hypothalamus;muscle;blood;pancreas;lung;adrenal gland;hippocampus;visual apparatus;duodenum;mammary gland;stomach;cerebellum;	amygdala;dorsal root ganglion;whole brain;thalamus;occipital lobe;superior cervical ganglion;medulla oblongata;olfactory bulb;hypothalamus;spinal cord;caudate nucleus;pons;subthalamic nucleus;trigeminal ganglion;cingulate cortex;parietal lobe;cerebellum;	0.24713	0.12093	.	.	2421.6539	9.14383
AATK-AS1	.	.	.	AATK antisense RNA 1	.	.	.	.	.	.	.	.	.	.	.
AAVS1	.	.	.	adeno-associated virus integration site 1	.	.	.	.	.	.	.	.	.	.	.
ABALON	.	.	.	apoptotic BCL2L1-antisense long non-coding RNA	.	.	.	.	.	.	.	.	.	.	.
